"TIME","SAIDA","STEP"
0.3642792348,0.596529,1
0.3643175948,0.596788,1
0.3656846975,0.606048,1
0.3656849972,0.60605,1
0.365725599,0.606326,1
0.3663166875,0.610341,1
0.3663179562,0.61035,1
0.366337136,0.61048,1
0.3669713496,0.614787,1
0.3677246875,0.619936,1
0.3677297927,0.619971,1
0.3677451384,0.620076,1
0.3683568373,0.624256,1
0.3683573168,0.62426,1
0.3686840114,0.626489,1
0.3696660132,0.63323,1
0.3697672351,0.633925,1
0.369774908,0.633978,1
0.3703967574,0.638253,1
0.3703969972,0.638255,1
0.3705603434,0.639375,1
0.3710513412,0.642763,1
0.3718059563,0.64797,1
0.3718097928,0.647997,1
0.3724367175,0.652332,1
0.3724368373,0.652333,1
0.37251851,0.652896,1
0.3727640073,0.654599,1
0.3738453169,0.6621,1
0.3738472352,0.662114,1
0.3744994383,0.666649,1
0.3751766975,0.671326,1
0.375181792,0.671361,1
0.3751847175,0.671381,1
0.375194908,0.671452,1
0.3752665214,0.671943,1
0.375839429,0.675873,1
0.3772173168,0.685229,1
0.3772217922,0.68526,1
0.3772259563,0.685288,1
0.3772349078,0.685348,1
0.377879415,0.68968,1
0.3792566875,0.698842,1
0.3792617923,0.698876,1
0.3792646975,0.698895,1
0.3792749076,0.698963,1
0.3793055977,0.699165,1
0.3799194013,0.703206,1
0.3812969972,0.712185,1
0.3813017924,0.712216,1
0.3813053169,0.712239,1
0.3813149074,0.712301,1
0.3819593879,0.716458,1
0.3826140983,0.720638,1
0.3833417925,0.725285,1
0.3833446875,0.725303,1
0.3833549072,0.725368,1
0.3833651368,0.725433,1
0.3839993747,0.729441,1
0.3853768374,0.738057,1
0.3853817926,0.738088,1
0.3853849972,0.738108,1
0.385394907,0.73817,1
0.3860393618,0.74216,1
0.3874217927,0.750631,1
0.3874349068,0.750711,1
0.3880793492,0.75462,1
0.3894567574,0.76289,1
0.3894617928,0.76292,1
0.3894648373,0.762938,1
0.3894749066,0.762998,1
0.3897920071,0.764876,1
0.3907739961,0.770692,1
0.3914992352,0.774943,1
0.3915046875,0.774975,1
0.3915097919,0.775005,1
0.3915251352,0.775095,1
0.3928139718,0.782573,1
0.3935367175,0.786723,1
0.3935446875,0.786769,1
0.3935447574,0.786769,1
0.3935651349,0.786886,1
0.3937083363,0.7877,1
0.394853948,0.794212,1
0.3955779564,0.798285,1
0.3955846875,0.798323,1
0.3955872346,0.798337,1
0.3956051345,0.798438,1
0.3968939247,0.805614,1
0.3976166975,0.809598,1
